"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLU",1.13284030253475e-19,1.31086099512543,0.908,0.452,2.15250985884628e-15
"SLC12A7",1.19806542244183e-19,-0.266492611534987,0.95,0.995,2.27644410918172e-15
"NREP",1.313580324434e-19,-0.586726944817916,0.992,0.995,2.49593397445704e-15
"STPG1",1.49283827307013e-19,-0.811148946242795,0.555,0.93,2.83654200266055e-15
"IGF2BP2",1.59594701330384e-19,-0.59856979598759,0.958,0.995,3.03245891997862e-15
"HMGN1",1.60618208457213e-19,-0.826629280125989,1,1,3.05190657889551e-15
"LINC00665",1.680236958981e-19,-1.50300121312884,0.303,0.817,3.19261824575979e-15
"C8orf59",1.974894480123e-19,-0.486187674382318,0.975,1,3.75249700168172e-15
"EBLN2",2.24463330701871e-19,-0.821520897286671,0.529,0.898,4.26502774666626e-15
"LYPD1",2.26952971975055e-19,3.58714847026744,0.471,0.043,4.31233342049802e-15
"ABL2",3.13967254685704e-19,1.35364218376109,0.866,0.409,5.96569180628306e-15
"CLIC5",3.5639980279704e-19,3.62438648043427,0.454,0.038,6.77195265294656e-15
"MAP3K13",3.8885484621676e-19,-0.458633039542022,0.874,0.995,7.38863093296465e-15
"KIAA1324L",4.13102935482312e-19,-1.2235753864509,0.387,0.876,7.8493688770994e-15
"RBP1",4.32207449432112e-19,-1.43488585727062,0.403,0.887,8.21237374665956e-15
"SLC25A26",4.43129197506264e-19,-0.727863330975897,0.622,0.952,8.41989788181652e-15
"ME1",4.64313577371925e-19,1.47592782388022,0.765,0.328,8.82242228364395e-15
"NABP1",4.77593857827332e-19,1.50181468805231,0.832,0.376,9.07476089257714e-15
"ZNF561",4.79792348248773e-19,-0.529333039207633,0.773,0.978,9.11653440907494e-15
"NASP",4.79833674638688e-19,-0.832283543557314,0.975,0.995,9.11731965180971e-15
"LPAR6",5.19249810288372e-19,-1.01613846784821,0.529,0.898,9.86626564528935e-15
"HYAL2",7.13776055166512e-19,-1.44394252763486,0.303,0.812,1.35624588242189e-14
"RPS19BP1",7.72992404449416e-19,0.707915298952703,0.983,0.769,1.46876286769433e-14
"POLR2J3.1",7.79521957558127e-19,-0.584665672309049,0.992,1,1.4811696715562e-14
"SOD3",8.14723612500025e-19,3.2036624688008,0.479,0.059,1.5480563361113e-14
"SPARC",8.83154102344827e-19,1.0143991743221,0.958,0.79,1.67808110986541e-14
"LINC00960",9.99962887055895e-19,-2.16024242392593,0.151,0.694,1.90002948169491e-14
"H1FX",1.05861320441498e-18,-1.16228727585466,0.647,0.903,2.0114709497089e-14
"LPL",1.11160241813473e-18,3.31471174415279,0.479,0.059,2.11215575469779e-14
"DNALI1",1.29786837007611e-18,-1.67186696222932,0.244,0.79,2.46607968998162e-14
"LYST",1.436071824045e-18,1.12921766062956,0.899,0.462,2.72868007286791e-14
"JPH4",1.44219521940846e-18,-1.43503328443953,0.311,0.817,2.74031513639801e-14
"RASA4",1.55469285160812e-18,-0.740859632972143,0.605,0.952,2.95407188734059e-14
"CHRM3",1.58098037904433e-18,-1.69246371168825,0.235,0.747,3.00402081822213e-14
"PCDHB9",1.69053131983706e-18,-1.52479839399475,0.286,0.79,3.21217856082239e-14
"CD44",1.9023106761388e-18,1.47460012960244,0.824,0.376,3.61458051573133e-14
"BEX3",1.91095703158712e-18,-0.869609153173654,0.975,0.995,3.63100945571869e-14
"CBX2",1.94007851145729e-18,-1.75620627505078,0.218,0.753,3.68634317961999e-14
"FRMD3",1.95813792068725e-18,1.65540895841628,0.706,0.242,3.72065786309784e-14
