"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A4GALT",1.44599387358884e-18,3.18233791543346,0.766,0.083,2.74753295920616e-14
"LPL",8.5457735506779e-18,4.83868054243593,0.617,0.018,1.62378243236431e-13
"KRT17",1.16620066664438e-17,2.97418779683783,0.894,0.266,2.21589788669099e-13
"AC117402.1",2.73157572515682e-16,2.90811571049544,0.745,0.11,5.19026703537047e-12
"TSPO",2.84815982200635e-16,1.61258185847605,0.979,0.55,5.41178847779426e-12
"ACP6",3.28359345424019e-16,-0.478692316545056,0.809,1,6.23915592240178e-12
"BST2",5.32466422793111e-16,1.24881055292883,0.979,0.67,1.01173944994919e-11
"PTGDS",6.78909771521809e-16,2.93879697558054,0.723,0.101,1.28999645686859e-11
"EMID1",1.45453350436928e-15,1.77773368626646,0.872,0.367,2.76375911165207e-11
"COPZ2",2.53229275479962e-15,1.15547145974776,0.979,0.505,4.81160946339476e-11
"ZSCAN18",4.58829527077944e-15,-0.916698101303076,0.617,0.982,8.71821984400801e-11
"FRZB",6.80256973506449e-15,2.2217615672597,0.851,0.284,1.2925562753596e-10
"CASC9",7.1550519549662e-15,-2.7198149304906,0.128,0.862,1.35953142196313e-10
"AC021504.1",1.60489100700298e-14,-2.33995242816592,0.17,0.844,3.04945340240636e-10
"SDC2",1.86683504806828e-14,1.64010383459483,0.957,0.495,3.54717327483453e-10
"ZNF426",1.8935573570596e-14,-0.772649999147704,0.66,0.982,3.59794833414894e-10
"PRKRIP1",2.50946533019731e-14,-0.596152113636117,0.83,1,4.76823507390791e-10
"FHIT",2.6159739055529e-14,-1.86979658156581,0.234,0.862,4.97061201794106e-10
"WDR6",2.99601824340844e-14,-1.18334712951884,0.447,0.927,5.69273426430037e-10
"FNDC1",3.10091720312438e-14,2.86567616145078,0.681,0.101,5.89205277765663e-10
"CLIC5",3.83376496339265e-14,4.36220509024882,0.511,0.018,7.28453680694238e-10
"SPARC",4.03908765054666e-14,1.34032867184163,0.979,0.752,7.67467044480371e-10
"INTU",4.28534769272125e-14,-1.29562840986671,0.447,0.89,8.14258915093964e-10
"LMNA",4.87184849904715e-14,1.88961472537987,0.979,0.606,9.25699933303948e-10
"MAGEA12",5.07422651259924e-14,1.57399851118736,0.894,0.367,9.64153779658982e-10
"LINC00665",5.27960810389976e-14,-2.50433720193085,0.149,0.798,1.00317833582199e-09
"WNK3",5.37900186965097e-14,-1.4280768216789,0.383,0.936,1.02206414525238e-09
"LYST",5.57448763064056e-14,1.48643643869853,0.894,0.367,1.05920839469801e-09
"PTGFR",5.86298672191045e-14,2.11273914547381,0.787,0.211,1.1140261070302e-09
"GAMT",6.46962338582006e-14,-1.09636857037555,0.511,0.945,1.22929313953967e-09
"BCL11A",7.50088505579214e-14,-1.07624638644503,0.596,0.972,1.42524316945106e-09
"ACVR2B",7.73570979134101e-14,-1.92714832036926,0.234,0.853,1.4698622174527e-09
"PPP2R3A",8.27769980071284e-14,-0.744591723334475,0.681,1,1.57284573913345e-09
"TRIM47",8.32182611494509e-14,3.50040641614163,0.574,0.055,1.58123018010072e-09
"ZC3H8",8.6763053186302e-14,-0.536377851338008,0.787,1,1.64858477359293e-09
"SLC25A26",9.24675479396393e-14,-1.03153453505464,0.511,0.954,1.75697587840109e-09
"GFOD1",1.08904845913523e-13,2.84458086736049,0.66,0.101,2.06930097720285e-09
"BBOX1-AS1",1.1790489507558e-13,-2.59914765495479,0.128,0.78,2.24031091133109e-09
"SYNGR1",1.5022922339326e-13,1.28955938723181,0.894,0.505,2.85450547369533e-09
"ME1",1.58605495489346e-13,1.85486401361953,0.83,0.275,3.01366301979307e-09
"DPY19L2",1.62604208088812e-13,-1.75114509123153,0.234,0.798,3.08964255789551e-09
"KIAA0040",1.85605983875547e-13,1.95956360179439,0.809,0.257,3.52669929961926e-09
"C3orf67",1.92057766419602e-13,-0.64809965398862,0.681,0.972,3.64928961973885e-09
"LSM8",1.97453646717882e-13,-0.79177640223795,0.979,1,3.75181674128648e-09
"B3GNT2",2.00732750189983e-13,1.51780877913038,0.894,0.385,3.81412298635986e-09
"HYI",2.21586244268449e-13,-0.252327781092988,0.936,1,4.2103602273448e-09
"DKK3",2.30038687563741e-13,1.44039433366292,0.915,0.422,4.37096510239864e-09
"WFDC1",2.62175456606423e-13,2.23529990226488,0.745,0.183,4.98159585097865e-09
"ZC4H2",2.75269545127773e-13,-1.01272693708574,0.532,0.945,5.23039662697282e-09
"BEX4",3.49294810054766e-13,-1.70879512631078,0.319,0.917,6.63695068585061e-09
"CD81",3.61040999950144e-13,0.944733844431077,1,0.972,6.86014004005268e-09
"CBX2",3.7625512773331e-13,-2.27748934001196,0.17,0.817,7.14922368206063e-09
"POLR2J3.1",4.28567089668747e-13,-0.685893655971924,1,1,8.14320327079586e-09
"CXCL3",4.33449289695739e-13,6.15596331722682,0.426,0,8.23596995350875e-09
"ABHD17B",4.58870641245723e-13,-1.23230417868524,0.404,0.936,8.71900105430999e-09
"WASF3",5.22997375356821e-13,-1.77807521264233,0.255,0.835,9.93747312915496e-09
"CSAG1",6.68719369554103e-13,1.36194839704381,0.957,0.45,1.27063367408975e-08
"AC145124.1",6.95435258276779e-13,-1.41432693512737,0.362,0.899,1.32139653425171e-08
"VPS50",7.57327268099792e-13,-0.733384730047041,0.681,0.972,1.43899754211641e-08
"LYPD1",7.62990267159749e-13,3.94184616598123,0.511,0.037,1.44975780663024e-08
"NME6",7.88036357288981e-13,-1.49522896508273,0.34,0.89,1.49734788248479e-08
"TRIM2",8.34421094327624e-13,-1.07673159641815,0.489,0.899,1.58548352133192e-08
"HIP1R",8.61597192154694e-13,-1.51088549251741,0.34,0.872,1.63712082481313e-08
"KIAA1324L",8.67733028251975e-13,-1.76527661965605,0.255,0.844,1.64877952698158e-08
"AFMID",8.70015060781073e-13,-1.06679743343234,0.489,0.927,1.65311561699012e-08
"LPAR6",8.85348488631323e-13,-1.52900068932763,0.362,0.936,1.68225066324838e-08
"SOD3",9.89845895287714e-13,3.53119804311684,0.532,0.046,1.88080618563618e-08
"ZMYM3",1.00620641378268e-12,-0.515868926267719,0.787,0.991,1.91189280682847e-08
"ZNF561",1.11001070950034e-12,-0.56632899196469,0.787,0.991,2.10913134912159e-08
"GTF2IRD1",1.16070752502875e-12,-1.06988943382627,0.489,0.917,2.20546036830713e-08
"ZFP82",1.21176668767869e-12,-0.681212434648412,0.681,0.982,2.30247788325827e-08
"MRPS22",1.25161271688442e-12,-0.383197133563888,0.894,1,2.37818932335208e-08
"MAP3K13",1.25242589723271e-12,-0.39620938370031,0.957,0.991,2.37973444733187e-08
"CCDC66",1.25305127677343e-12,-0.573603904601524,0.745,0.963,2.3809227309972e-08
"LGALS8",1.40652918050356e-12,1.74588778363648,0.851,0.284,2.67254609587482e-08
"ALDH6A1",1.51603341614107e-12,-0.438907371963745,0.766,0.972,2.88061509400966e-08
"SLC12A7",1.65502698216441e-12,-0.31554254101371,0.936,1,3.14471676881059e-08
"SPARCL1",1.66865991352141e-12,3.12735427819488,0.617,0.11,3.17062070168203e-08
"HSP90AB1",1.70194324466327e-12,0.951226901337145,1,1,3.23386235918468e-08
"CBR4",1.74960224083388e-12,-0.344778647354053,0.936,1,3.32441921780845e-08
"CLU",1.79013766807113e-12,1.40336189738811,0.872,0.468,3.40144058310195e-08
"ZNF562",2.01509829804374e-12,-0.502802788646256,0.809,0.972,3.82888827611291e-08
"HLA-DPB1",2.12738803984373e-12,-1.7347008396084,0.277,0.899,4.04225001450707e-08
"ZNF583",2.14592114646909e-12,-0.774071552438189,0.66,0.972,4.07746477040592e-08
"SPRED2",2.17572249269889e-12,-1.02120439231895,0.511,0.927,4.13409030837716e-08
"ABCC4",2.20679760167844e-12,1.45624745425013,0.872,0.385,4.19313612294921e-08
"NCBP2",2.24506280722913e-12,-0.437313477832162,0.936,1,4.26584384001607e-08
"ZNF197",2.25097170304714e-12,-0.750318558271693,0.66,0.963,4.27707133295987e-08
"ABCA6",2.28214302080409e-12,3.8166629154707,0.489,0.028,4.33629995382986e-08
"SMARCC1",2.40310438036047e-12,-1.72161643845657,0.34,0.908,4.56613863312294e-08
"FRMD3",2.47310075990596e-12,2.03832912938733,0.723,0.193,4.69913875389731e-08
"SP4",2.91226019296817e-12,-1.06643504927455,0.468,0.927,5.53358559265882e-08
"PHLDB3",2.94745499912213e-12,1.24930963185787,0.894,0.477,5.60045924383196e-08
"JPH4",3.05576896556798e-12,-1.90258703950746,0.234,0.862,5.80626661147571e-08
"ZNF568",3.28389308818695e-12,-0.489267074591611,0.702,0.936,6.23972525686403e-08
"ZNF345",3.37751997796063e-12,-0.373630292174329,0.851,0.982,6.417625710123e-08
"ING2",3.40795744425753e-12,-1.20414221990962,0.468,0.917,6.47545993983373e-08
"CH25H",3.43403287862223e-12,2.47831094498404,0.66,0.183,6.5250058726701e-08
"HMGN1",3.8912915087313e-12,-0.907164234120293,1,1,7.39384299574035e-08
"GTF2I",3.9991417826553e-12,-0.695390587779873,0.979,1,7.59876930122334e-08
"DNAAF2",4.26785951161393e-12,-0.435920076608975,0.851,0.991,8.10935985801763e-08
"RCC1L",4.33890192295618e-12,-0.326477611522821,0.915,1,8.24434754380903e-08
"EBLN2",4.57966476934197e-12,-0.659047727654822,0.596,0.89,8.70182102822668e-08
"MTA1",4.71054842611974e-12,-0.170049322525837,1,1,8.95051306447011e-08
"CPED1",4.85772575544492e-12,-1.59039530985178,0.681,0.972,9.23016470792089e-08
"PBRM1",4.9904426367952e-12,-0.753239194399767,0.702,0.945,9.48234005417456e-08
"NEIL1",5.05805383962376e-12,-1.83463235946643,0.234,0.844,9.6108081006691e-08
"ZNF814",5.27302004046773e-12,-0.973912053260905,0.511,0.936,1.00192653788927e-07
"LINC00649",5.57736108009066e-12,-0.652401495205452,0.702,0.991,1.05975437882803e-07
"OARD1",5.98839297828095e-12,-0.468091951751292,0.83,0.991,1.13785454980316e-07
"MARCKSL1",6.2885154815955e-12,-1.20672907331985,0.681,0.972,1.19488082665796e-07
"LAMA4",6.48391314494718e-12,1.17935806635047,0.979,0.633,1.23200833667141e-07
"EZR",6.59551294876789e-12,1.41555402074117,0.936,0.514,1.25321341539539e-07
"ZNF439",6.62959092271636e-12,-3.16238282039721,0.064,0.679,1.25968857122533e-07
"AC068580.4",6.66065266534788e-12,3.83469201708067,0.468,0.028,1.26559061294275e-07
"SAAL1",7.19026194871863e-12,-1.00622634134453,0.511,0.908,1.36622167287603e-07
"OPN3",7.26661843458179e-12,-1.6341712894662,0.277,0.872,1.38073016875489e-07
"HMGA2",7.42824225407223e-12,-2.35019561151593,0.213,0.807,1.41144031069626e-07
"AC023034.1",7.64545205793063e-12,-0.453110416112499,0.766,0.972,1.4527123455274e-07
"COL1A1",7.8480017821882e-12,1.12514087942692,1,0.917,1.49119881863358e-07
"PIK3CD-AS2",7.9497458319761e-12,-0.716798384167115,0.574,0.917,1.51053120553378e-07
"PSTK",7.98087163938573e-12,-1.81507216289242,0.234,0.789,1.51644542019968e-07
"FZD3",8.06516082228931e-12,-0.726619545325399,0.638,0.963,1.53246120784319e-07
"JARID2",8.21566388395789e-12,-1.36091236772474,0.426,0.881,1.56105829459084e-07
"RASA4",8.33205139210438e-12,-1.02260728273354,0.489,0.936,1.58317308501375e-07
"ZNF821",8.59752270441419e-12,-0.694365837976937,0.723,0.982,1.63361528906574e-07
"AL022238.2",8.65870879443223e-12,1.53667365439715,0.83,0.312,1.64524125803007e-07
"AC137767.1",8.70439399644267e-12,-1.59643313822438,0.298,0.872,1.65392190326407e-07
"NUDT6",8.78211789579754e-12,-1.82068255516911,0.234,0.798,1.66869022138049e-07
"LINC00662",9.61376898018033e-12,-0.923123657915866,0.553,0.963,1.82671224392406e-07
"ZNF300",1.00674561569981e-11,-2.103805841891,0.17,0.761,1.9129173443912e-07
"LDOC1",1.02569556596945e-11,-1.60788433857276,0.298,0.881,1.94892414489855e-07
"IFI16",1.0563347151914e-11,-0.644891624342977,0.83,1,2.00714159233517e-07
"DHPS",1.05826650270556e-11,-0.371127407340019,0.872,1,2.01081218179084e-07
"CLDN12",1.09468295539723e-11,-1.26606024858985,0.404,0.899,2.08000708355028e-07
"MTUS1",1.09564529037923e-11,-2.08588723483002,0.191,0.798,2.08183561624957e-07
"CHRM3",1.12525161042999e-11,-2.27677649108526,0.149,0.734,2.13809058497802e-07
"MFSD13A",1.1409063466513e-11,-2.14380846711902,0.17,0.771,2.16783614927214e-07
"FBXL13",1.15394718594415e-11,-2.30473546330848,0.149,0.761,2.19261504801248e-07
"CDKN2AIP",1.16071528852674e-11,-1.98144955454418,0.213,0.826,2.20547511972965e-07
"ZNF579",1.16436863128957e-11,-1.34217287140456,0.362,0.881,2.21241683631331e-07
"NQO1",1.17124074340385e-11,3.68650778684811,0.489,0.046,2.22547453654166e-07
"ARL17A",1.17939372028131e-11,-0.31099780084064,0.957,1,2.24096600790651e-07
"LGALS2",1.18081056104881e-11,4.69570961245413,0.404,0.009,2.24365814704883e-07
"DBP",1.20273370432897e-11,-2.16262279943763,0.17,0.798,2.28531431159547e-07
"FAM117B",1.24107976409316e-11,-1.7846646974699,0.234,0.789,2.35817565975342e-07
"FBXO45",1.24163136744118e-11,-0.423380986760925,0.851,1,2.35922376127498e-07
"HPS3",1.27784160092385e-11,-0.257761113317165,0.957,1,2.42802682591541e-07
"HOXD13",1.38119622370536e-11,-1.67250783907403,0.277,0.881,2.62441094466255e-07
"AADAT",1.42117601053301e-11,-2.10587845693714,0.17,0.752,2.70037653761376e-07
"NABP1",1.46160642184308e-11,1.62624730899155,0.872,0.385,2.77719836214403e-07
"SPICE1",1.4891277531034e-11,-1.1188133891458,0.468,0.899,2.82949164367177e-07
"RAD54L2",1.4982773812751e-11,-1.43730832928482,0.34,0.862,2.84687685216081e-07
"ZNF502",1.50471310987936e-11,-1.84242433706005,0.234,0.817,2.85910538008177e-07
"TNN",1.54144799771742e-11,2.00072984819866,0.702,0.193,2.92890534046287e-07
"UFSP2",1.57953005460486e-11,-0.96159095209121,0.532,0.945,3.0012650567547e-07
"ITGA6",1.6162258834293e-11,2.01213044564982,0.723,0.239,3.07099080110402e-07
"MXRA8",1.61908031870748e-11,0.570729817594089,1,0.927,3.07641451357609e-07
"YEATS2",1.63827701909954e-11,-0.893592258426652,0.596,0.954,3.11289016399104e-07
"STOM",1.67351392456098e-11,1.14003508988049,0.894,0.514,3.17984380805832e-07
"FAM208A",1.68489371630488e-11,-0.474494012170067,0.851,0.991,3.20146655035091e-07
"ZNF667",1.73232820634804e-11,-0.719821484930661,0.681,0.963,3.29159682488191e-07
"CRYAB",1.78394761526694e-11,5.02667467449184,0.404,0.009,3.38967886376872e-07
"PCDHB16",1.78943853105547e-11,-2.18370371039352,0.17,0.743,3.4001121528585e-07
"DLK1",1.7933482225255e-11,1.52534506868636,0.936,0.486,3.4075409576207e-07
"NUPR1",1.79739645050111e-11,1.1829135096516,0.979,0.56,3.41523299559716e-07
"NECTIN3-AS1",1.85666311564692e-11,2.85338816670178,0.553,0.083,3.52784558604071e-07
"CNOT6",1.86515377507032e-11,-0.874227023411808,0.574,0.972,3.54397868801111e-07
"TMSB15B.1",1.87543556108637e-11,-0.73805599541732,0.638,0.927,3.56351510962021e-07
"IFI44",1.93443787435087e-11,-2.28449431543431,0.149,0.798,3.67562540505409e-07
"AC011632.1",1.94396955287912e-11,-2.27911785176676,0.149,0.752,3.69373654742561e-07
"EXOSC9",1.94699875755516e-11,-1.04314698207824,0.553,0.972,3.69949233923055e-07
"MTDH",2.007779052142e-11,0.764327363722285,1,1,3.81498097697502e-07
"TMSB15A",2.05674671145995e-11,-1.86710608118265,0.277,0.862,3.90802442644505e-07
"WDR33",2.06158509953588e-11,-0.306051343764377,1,1,3.91721784762812e-07
"PCED1A",2.08825829234537e-11,-0.216120913194262,0.936,0.991,3.96789958128543e-07
"PQLC3",2.14556003676677e-11,0.639545483014457,0.979,0.697,4.07677862586054e-07
"UBXN7",2.21394214807955e-11,-0.658494903360768,0.787,0.991,4.20671147556596e-07
"EXOC4",2.22438565900519e-11,-0.524983941444447,0.766,0.972,4.22655519067575e-07
"KAZN",2.35431565907159e-11,0.796963282882422,0.957,0.706,4.47343518380193e-07
"UTRN",2.41734140187061e-11,1.50156624754146,0.872,0.413,4.59319039769436e-07
"TFDP2",2.41752737513699e-11,-1.23932860713372,0.489,0.908,4.5935437654978e-07
"ZNF71",2.43097878969294e-11,-1.21332882123612,0.383,0.89,4.61910279829555e-07
"FHL1",2.5617458050259e-11,1.16012089736929,0.979,0.798,4.86757320412972e-07
"SCPEP1",2.65036597261808e-11,-1.03734290491646,0.511,0.963,5.03596038457161e-07
"CCDC93",2.68313896777126e-11,-0.341774245240407,0.936,1,5.09823235266217e-07
"HEY2",2.76572394344327e-11,1.61387327596306,0.766,0.294,5.25515206493655e-07
"PTBP2",2.82479191635717e-11,-0.40512582479072,0.872,1,5.36738712027025e-07
"STRBP",2.9272308495862e-11,-1.21951742133644,0.404,0.881,5.56203133729874e-07
"TKFC",2.9379441713391e-11,-0.669986699299334,0.638,0.982,5.58238771996142e-07
"C8orf59",2.98077558810036e-11,-0.531259888657104,0.979,1,5.6637716949495e-07
"C8orf34",2.99780423852745e-11,2.70456200910933,0.574,0.101,5.69612783362601e-07
"LSM14B",3.05120758291034e-11,-0.721359333089124,0.66,0.991,5.79759952828794e-07
"ABL2",3.08441645072366e-11,1.5599349816739,0.83,0.367,5.86069969802003e-07
"ZKSCAN8",3.21550328917062e-11,-0.487218592177679,0.745,0.954,6.1097777997531e-07
"ABCC5",3.28792332325402e-11,-1.46023086467708,0.319,0.826,6.24738310651496e-07
"H1FX",3.30183781080271e-11,-1.13203778472282,0.681,0.945,6.27382202430623e-07
"PPP4R2",3.30782887529711e-11,-0.438981848172962,0.915,0.991,6.28520564595203e-07
"SLC26A10",3.35541112406883e-11,-0.923476918020272,0.511,0.872,6.37561667684318e-07
"KLF12",3.49824740942291e-11,-0.662332660516493,0.766,0.991,6.64701990264447e-07
"HNRNPA1",3.58035888010479e-11,-0.734211826508055,0.979,1,6.80303990808712e-07
"LINC02249",3.59783517786344e-11,-2.26475757440328,0.149,0.734,6.83624662145832e-07
"RNF44",3.63073513157922e-11,-0.866752639532832,0.553,0.954,6.89875982351367e-07
"HOXD10",3.68054355388623e-11,-1.51856166657514,0.277,0.807,6.99340080673923e-07
"ZNF544",3.69841282032433e-11,-0.669175639560671,0.681,1,7.02735419989825e-07
"RBM6",3.77234582808395e-11,-0.331134735708019,0.979,1,7.16783430794231e-07
"DANT2",3.78182743417612e-11,-2.78966311977707,0.085,0.706,7.18585030767805e-07
"MKRN1",3.78244799308983e-11,-0.66331307237408,0.681,0.936,7.18702943166999e-07
"L3MBTL1",3.83286518917699e-11,-2.22392549503864,0.149,0.743,7.28282714595519e-07
"ZNF347",3.84147286237873e-11,-1.74834859958688,0.234,0.752,7.29918258580582e-07
"ANP32A",3.86443934482960e-11,-0.567547233669911,0.872,0.991,7.34282119911073e-07
"CBLB",4.00407099299406e-11,-1.0384468503115,0.532,0.917,7.60813529378802e-07
"THYN1",4.01810352842232e-11,-1.46796219917871,0.34,0.908,7.63479851435524e-07
"HNRNPC",4.18702155443895e-11,-0.707119960740565,1,1,7.95575965558945e-07
"BRD8",4.3190554912256e-11,-0.628287526755548,0.723,0.954,8.20663733887775e-07
"WDCP",4.35557757961346e-11,-0.775563835279435,0.596,0.908,8.27603295902353e-07
"ARHGAP33",4.41572707454843e-11,-2.16013085014907,0.17,0.743,8.39032301434946e-07
"SFT2D3",4.51800816754051e-11,-0.765222277312645,0.638,0.963,8.58466731914373e-07
"GPT2",4.54021663927261e-11,-0.862041227419189,0.638,0.954,8.62686563628188e-07
"TMEM138",4.60366993051087e-11,-1.13561458026645,0.447,0.89,8.74743323496371e-07
"USP40",4.60555052083454e-11,-0.930064050579337,0.511,0.899,8.7510065446377e-07
"ZNF780B",4.6831152625048e-11,-1.44604816882546,0.319,0.798,8.89838731028536e-07
"DHRS4-AS1",4.69935276957862e-11,-0.808846524475956,0.553,0.917,8.92924019747633e-07
"MSI2",4.75456391408669e-11,-0.671249631493165,0.766,0.972,9.03414689315612e-07
"NONO",4.76847477737618e-11,-0.657497587788956,1,1,9.06057892449248e-07
"TMA7",5.01905411978533e-11,-0.638602307528776,0.915,0.991,9.53670473300411e-07
"AGT",5.04630524933664e-11,2.28619463635529,0.681,0.174,9.58848460426456e-07
"TSHZ2",5.1229944791406e-11,-2.73879603622492,0.106,0.697,9.73420180981505e-07
"C3orf38",5.1704822187327e-11,-0.60948012041808,0.681,0.936,9.824433263814e-07
"TMEM199",5.19184752125458e-11,-0.355679740897393,0.851,0.972,9.86502947513582e-07
"GTPBP8",5.22681092550095e-11,-0.894125896454035,0.553,0.927,9.93146343954435e-07
"ETFDH",5.49275196095001e-11,-0.295318140270784,0.894,0.991,1.04367780010011e-06
"COPS7B",5.56431284999546e-11,-0.326787792255596,0.872,1,1.05727508462764e-06
"GOLGA8B",5.73473169789636e-11,-1.54077796979838,0.298,0.835,1.08965636991729e-06
"CBX1",5.86608224785215e-11,-0.483355989532388,0.936,1,1.11461428791439e-06
"IL7",5.87787265412397e-11,1.17385479543326,0.851,0.459,1.1168545830101e-06
"ANKRD6",6.08583149660183e-11,-1.71337771026931,0.255,0.789,1.15636884266931e-06
"PLCH1",6.2206336182226e-11,2.10171414953949,0.702,0.174,1.18198259379848e-06
"PHF21A",6.24020911075355e-11,-0.412471935128251,0.851,0.991,1.18570213313428e-06
"AC004846.1",6.25717763959697e-11,-1.46078347183601,0.319,0.807,1.18892632329982e-06
"GIPC3",6.26266082161248e-11,1.10748720632958,0.936,0.459,1.18996818271459e-06
"CEP162",6.28872241885766e-11,-1.06783323929287,0.489,0.927,1.19492014680714e-06
"GATB",6.43215565098178e-11,-1.55729115755205,0.277,0.817,1.22217389524305e-06
"ZMAT1",6.5574617742829e-11,-2.5831211040058,0.106,0.697,1.24598331173149e-06
"PRKAB2",6.87010078253738e-11,-0.917782825124256,0.532,0.945,1.30538784968993e-06
"PCDHB9",6.99819223614653e-11,-1.99729762347149,0.191,0.743,1.3297265067902e-06
"NPM1",7.02830092404806e-11,-0.831041127132132,1,1,1.33544745857837e-06
"ANKRD7",7.1442377264574e-11,-1.30584534463444,0.362,0.862,1.35747661040417e-06
"IL32",7.32034309288819e-11,4.41785559952288,0.426,0.028,1.39093839107969e-06
"BAP1",7.39695941107444e-11,-1.28607816599292,0.362,0.872,1.40549625769825e-06
"MEIS1",7.54999092590053e-11,-1.44126766406297,0.34,0.844,1.43457377583036e-06
"STARD4-AS1",7.6868983284657e-11,-0.681194028532353,0.681,0.963,1.46058755139177e-06
"APTR",7.70962026225848e-11,-1.83147729114573,0.213,0.761,1.46490494603173e-06
"ING4",8.11581199468617e-11,-0.508942486330203,0.766,0.954,1.54208543711032e-06
"KCTD6",8.12082125513961e-11,-0.356867592302852,0.83,0.963,1.54303724668908e-06
"DNALI1",8.24822585140075e-11,-2.79465332662109,0.085,0.716,1.56724539402466e-06
"MATN2",8.25666388518517e-11,1.80095806645972,0.787,0.239,1.56884870482403e-06
"CACNB4",8.30327084695352e-11,-1.79309893482565,0.234,0.807,1.57770449362964e-06
"DALRD3",8.31524085690031e-11,-0.642586591621477,0.66,0.917,1.57997891521963e-06
"DNAAF4",8.3492102338986e-11,-2.09385338942338,0.17,0.78,1.58643343654307e-06
"ZNF585A",8.36166443907082e-11,-1.8631767269296,0.234,0.826,1.58879986006785e-06
"PHKA2",8.38954299785422e-11,-0.377022069152533,0.83,1,1.59409706502228e-06
"TMSB15B",8.74038489647587e-11,-0.756831726737025,0.66,0.972,1.66076053417938e-06
"MRPL11",8.88358759693504e-11,-0.626509323058967,0.766,0.991,1.68797047929363e-06
"AP1G2",8.94751240929364e-11,-2.40662112296842,0.128,0.697,1.70011683288989e-06
"ZNF268",9.14603518452132e-11,-0.535615585340246,0.723,0.982,1.7378381454109e-06
"WDR82",9.59293142782873e-11,-0.812928813172713,0.617,0.927,1.82275290060174e-06
"IP6K2",9.77814513436374e-11,-1.20972915584559,0.447,0.881,1.85794535698045e-06
"KDM1A",1.0023978455229e-10,-0.543617732567231,0.83,0.991,1.90465614627805e-06
"CXCL14",1.02426582628249e-10,2.34700306636051,0.745,0.248,1.94620749651936e-06
"MGAT4A",1.03984670532363e-10,1.64075798808229,0.723,0.266,1.97581272478543e-06
"TMEM243",1.04453796999787e-10,-0.235162031709869,0.936,0.972,1.98472659679296e-06
"COL9A2",1.05012337617957e-10,-0.807070355316095,0.596,0.917,1.9953394270788e-06
"C12orf45",1.05620648099942e-10,-0.478977001050574,0.83,1,2.00689793454699e-06
"COMT",1.06250755602058e-10,0.39257141997445,0.979,0.899,2.01887060719471e-06
"CLCN4",1.06625665761856e-10,-1.51182098274361,0.298,0.826,2.02599427514103e-06
"NELFA",1.12603892323741e-10,-0.538234525421587,0.745,0.982,2.1395865580434e-06
"PAXBP1",1.17210341057762e-10,-0.547718308123638,0.894,1,2.22711369043854e-06
"TSC22D3",1.1727329603541e-10,0.675420910529088,1,0.972,2.22830989796882e-06
"RRP9",1.17740601046885e-10,-2.10693182540951,0.17,0.78,2.23718916049187e-06
"SPIN2B",1.17818917751292e-10,-0.932953546265918,0.532,0.945,2.23867725619231e-06
"GPC2",1.18782633329535e-10,-0.764906482562035,0.681,0.963,2.25698881589449e-06
"ZNF431",1.20231986228439e-10,-0.379336677602729,0.894,1,2.28452797032656e-06
"NAP1L1",1.20312618856549e-10,-0.903881639703438,0.979,1,2.28606007089328e-06
"C12orf43",1.23412340358447e-10,-0.257479426935466,1,1,2.34495787915086e-06
"IP6K1",1.25228625137054e-10,-0.830192912160034,0.596,0.945,2.37946910622917e-06
"MRRF",1.25578343277453e-10,-0.862818578180745,0.553,0.936,2.38611410061488e-06
"EHMT2",1.25661843093928e-10,-0.529166958520713,0.787,0.991,2.38770068062773e-06
"SP140L",1.28815454725185e-10,-1.94057339333512,0.191,0.752,2.44762245523325e-06
"SUMO2",1.29847734972444e-10,-0.74238973438312,1,1,2.46723681221141e-06
"AL033530.1",1.30177684430873e-10,-1.26822877528542,0.362,0.844,2.47350618187102e-06
"NR2F2-AS1",1.31770311232566e-10,-0.760306210173523,0.66,0.917,2.50376768372999e-06
"PCDHB2",1.32257444814319e-10,-1.9384977403388,0.191,0.752,2.51302370891687e-06
"NLGN1",1.32602641375516e-10,-3.95718013970346,0.021,0.596,2.51958278877618e-06
"DBR1",1.33067150968276e-10,-1.27304011776759,0.383,0.908,2.52840893554821e-06
"PARL",1.33098440699671e-10,-0.353778344864138,0.894,1,2.52900347173446e-06
"AL031283.2",1.39848943379383e-10,3.25796764564824,0.468,0.046,2.65726977315166e-06
"ACVRL1",1.44628649876439e-10,0.635096953127023,1,0.817,2.74808897630221e-06
"LBX2",1.46297867808718e-10,-2.32632332428184,0.128,0.706,2.77980578623345e-06
"ASGR1",1.46421057174919e-10,-1.52524085860978,0.298,0.807,2.78214650738063e-06
"NASP",1.47405224231767e-10,-0.725516299555757,0.979,1,2.8008466656278e-06
"RBM4",1.47405224231767e-10,-0.258221450847258,1,1,2.8008466656278e-06
"RPL7",1.51185294992331e-10,-1.12216671659816,1,1,2.87267179014927e-06
"GATA2",1.52055420594215e-10,-2.64160584659919,0.106,0.688,2.88920504671069e-06
"S100A2",1.54172509457636e-10,3.70211153395999,0.426,0.028,2.92943185220455e-06
"SELE",1.62210732191826e-10,5.67084135311806,0.34,0,3.08216612237689e-06
"DYM",1.66064881575585e-10,-0.251079804459463,0.872,0.954,3.15539881481769e-06
"AL355338.1",1.67425977112742e-10,-1.16870048254254,0.426,0.89,3.18126099111922e-06
