"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LPO",0.0328865322618984,-2.24583614553801,0,0.092,1
"AC027601.4",0.0328865322618984,-2.24583614553801,0,0.092,1
"KLHL14",0.0328865322618984,-2.24583614553801,0,0.092,1
"C18orf65",0.0328865322618984,-2.24583614553801,0,0.092,1
"RSPO4",0.0328865322618984,-2.24583614553801,0,0.092,1
"AL162293.1",0.0328865322618984,-2.24583614553801,0,0.092,1
"CD40",0.0328865322618984,-2.24583614553801,0,0.092,1
"AC006273.1",0.0328865322618984,-2.24583614553801,0,0.092,1
"AC008555.5",0.0328865322618984,-2.24583614553801,0,0.092,1
"FXYD7",0.0328865322618984,-2.24583614553801,0,0.092,1
"FCGBP",0.0328865322618984,-2.24583614553801,0,0.092,1
"PNMA8B",0.0328865322618984,-2.24583614553801,0,0.092,1
"AC012313.8",0.0328865322618984,-2.24583614553801,0,0.092,1
"AC007731.3",0.0328865322618984,-2.24583614553801,0,0.092,1
"AL022323.1",0.0328865322618984,-2.24583614553801,0,0.092,1
"AL022328.2",0.0328865322618984,-2.24583614553801,0,0.092,1
"TMPRSS15",0.0328865322618984,-2.24583614553801,0,0.092,1
"FRGCA",0.0328865322618984,-2.24583614553801,0,0.092,1
"AL162431.2",0.0328865322618984,-2.18802686251353,0,0.092,1
"GPR153",0.0329106238427421,-0.488957321618825,0.404,0.55,1
"ZNF70",0.0329168853152218,-0.217208774567479,0.83,0.936,1
"CCHCR1",0.0329441486273384,-0.110043932608057,0.894,0.927,1
"DPY19L1",0.0329635390048647,-0.245726020911486,0.617,0.725,1
"TUBA1B",0.0329688377696122,-0.540226820911438,0.894,0.862,1
"SRSF8",0.0329716954025331,-0.15915317540494,0.872,0.963,1
"PLCD4",0.0330548022922911,-1.0612271818778,0.128,0.266,1
"CADM1",0.0331996217895873,-0.141897509627742,0.872,0.899,1
"HOXC13-AS",0.0333111660778953,-0.786404526900711,0.213,0.394,1
"BTAF1",0.0333132849551466,-0.102190976321148,0.979,1,1
"CLDN5",0.0333795100873635,-1.24404293142887,0.085,0.22,1
"EME2",0.0333867202160784,-0.413828818594016,0.447,0.578,1
"MRPL58",0.0335561430603889,-0.185032073327624,0.83,0.936,1
"PCTP",0.0335945538083186,0.197331699507988,1,0.89,1
"MAPK9",0.0336318551377526,-0.121736279019547,0.936,0.982,1
"LRRC18",0.0336393928830382,1.70390377417841,0.128,0.037,1
"LINC02256",0.0336713680052528,-0.26041947089459,0.596,0.688,1
"GSN-AS1",0.0337333615043381,0.865266481587314,0.362,0.193,1
"AL138828.1",0.0337955033208927,-1.31829420955405,0.064,0.193,1
"TSEN2",0.0337978769511143,-0.191338623964373,0.809,0.908,1
"AC026304.1",0.0338431103318595,-0.990907844479248,0.128,0.275,1
"ARSB",0.0338965496444246,0.530069137894543,0.681,0.477,1
"ZNF395",0.0339284572987733,-0.580772661291707,0.319,0.477,1
"BTD",0.0339321575531581,-0.416381315243519,0.574,0.761,1
"MED27",0.0339353953942235,-0.115562048791021,0.915,0.945,1
"UBE2A",0.0339586834840457,-0.107323642632104,1,1,1
"MRPL55",0.0339586834840457,-0.102764641444822,1,0.991,1
"FGD4",0.0340589807553846,-0.462665868210417,0.404,0.56,1
"NRK",0.0340770603397959,-0.934194254280044,0.234,0.385,1
"WHRN",0.0341374847536766,-0.217435136544305,0.766,0.826,1
"MAPK12",0.0341975029105382,-0.730542600048284,0.234,0.404,1
"PLP2",0.0341975029105382,0.622934395044596,0.447,0.312,1
"ZNF45",0.0342338528187128,-0.282513428324428,0.511,0.596,1
"RSAD2",0.0342376634589024,-0.612790675954717,0.234,0.367,1
"TMEM99",0.0343265665072672,-0.264713618395279,0.681,0.807,1
"IL2RG",0.0344069457359734,1.69902230026953,0.128,0.037,1
"AC078880.4",0.0344069457359734,1.69902230026953,0.128,0.037,1
"RTL1",0.0344069457359734,1.69902230026953,0.128,0.037,1
"FDX2",0.0344727275226608,-0.661636260241516,0.298,0.486,1
"NDUFA4",0.0346145988160526,-0.290147998107303,1,0.982,1
"DAD1",0.0346147417740913,0.207291110199912,1,1,1
"THAP7",0.0346600865534619,0.162587079928105,0.809,0.789,1
"ENDOG",0.0347284862093206,0.386474463564374,0.915,0.697,1
"RASGEF1B",0.0348876601197828,-1.05608605175548,0.128,0.257,1
"RAB3IL1",0.0348933661948154,-0.301483941928139,0.489,0.587,1
"ZNF75D",0.0348985237733107,-0.291455511627061,0.702,0.844,1
"MAP2K1",0.034922063349095,-0.121217480977871,0.851,0.881,1
"INO80E",0.0349295482588527,-0.112737757656591,0.915,0.954,1
"ATP5F1C",0.0349468108753275,-0.106593362381411,1,1,1
"ESRRG",0.0349480874014368,-0.808271780053615,0.191,0.339,1
"SMAD6",0.0350289736029721,-0.179626226713171,0.766,0.835,1
"HAUS8",0.0350295833832769,-0.674660030204585,0.191,0.349,1
"TNS1",0.0350637378514978,-0.164184124337384,0.745,0.771,1
"AC015961.2",0.0351250327612176,-1.8433529093169,0.021,0.128,1
"KCND3",0.0351250327612176,-1.82070971453132,0.021,0.128,1
"CLEC18A",0.0351922479037756,-1.2361057077051,0.085,0.229,1
"SMC5-AS1",0.0352184667332584,-0.224006824644129,0.617,0.688,1
"LINC01579",0.0352432556617065,-0.423807579677511,0.447,0.606,1
"MUT",0.0352642242674894,0.102966638684286,0.957,0.936,1
"ACTB",0.0352815960900351,0.492817410953313,1,1,1
"KMT2C",0.0352815960900351,-0.135581340196537,1,1,1
"SLC44A1",0.0352984058208082,-0.206981488314196,0.702,0.78,1
"LGR6",0.0353097993975815,1.10668026918278,0.255,0.119,1
"CARD9",0.0353097993975815,1.10668026918278,0.255,0.119,1
"SUSD4",0.0353276835591626,1.27299350643149,0.213,0.092,1
"TAGAP",0.0353348378883787,1.21712410246836,0.234,0.11,1
"ELL2",0.0353914558215748,0.573211646621513,0.638,0.44,1
"ACKR3",0.0354345580571516,0.490129843774161,0.553,0.45,1
"RARRES1",0.0355319031701543,-0.686241673395254,0.319,0.486,1
"FBXO8",0.0355946743742752,-0.343622037138963,0.723,0.936,1
"TOX4",0.035619114598617,-0.121083962527004,1,1,1
"AC013271.1",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"SMAD5-AS1",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"AC022784.3",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"ADAM28",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"AL158163.1",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"TAS2R19",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"ZNF816-ZNF321P",0.0356895293690465,-1.16491615015444,0.085,0.229,1
"AC018553.1",0.0360579289280508,0.775597991334166,0.447,0.294,1
"DERL3",0.036098259149754,-0.786292004645746,0.213,0.367,1
"ICAM3",0.0361352248718702,0.818872335778024,0.362,0.22,1
"EDEM1",0.0361627997290726,-0.270154713983142,0.723,0.872,1
"NRN1",0.0362003972818722,-0.854375920774587,0.17,0.349,1
"SCN1B",0.0362651981240173,-0.984228526788009,0.149,0.303,1
"COX6A1",0.0363024205105905,-0.136020324125449,1,1,1
"PET117",0.0363531657633188,-0.226751090468322,0.596,0.679,1
"CABYR",0.0363698355027153,-0.663869817723031,0.298,0.45,1
"C1orf198",0.036415116450565,-0.260413372559934,0.574,0.67,1
"SLC25A27",0.036486566060687,-0.570675835845274,0.362,0.56,1
"AC017071.1",0.0365620037078812,-0.480206689351756,0.404,0.56,1
"PRDM5",0.0366047949313573,-0.240440402447323,0.723,0.835,1
"DESI1",0.0366304302262243,0.187508870364448,1,0.917,1
"C19orf70",0.0366482425654615,0.14899772292353,1,1,1
"SPEN",0.0366482425654615,-0.1306021239211,1,1,1
"RBM42",0.036820714403435,-0.17365730440856,0.936,0.991,1
"RAB13",0.0369968672165508,-0.129940947332514,1,1,1
"TRIM31",0.0370157678120474,-1.31090129492518,0.064,0.193,1
"MFSD2A",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"KLHL41",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"NCBP2-AS1",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"C4orf19",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"FAM160A1",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"AC073335.2",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"ASIC3",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"FFAR4",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"ADCY7",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"AP000356.2",0.0371025671953263,-1.44936953962314,0.043,0.165,1
"LYPLAL1",0.0371040775791679,-0.147127715396866,0.851,0.936,1
"TUBB4B",0.0371331941187145,-0.609554533142913,0.66,0.807,1
"LINC02377",0.0371366114603027,-1.77455017568133,0.021,0.128,1
"AC100814.1",0.0372819792258353,-1.05942302130713,0.106,0.257,1
"GRIK4",0.0372819792258353,-1.05942302130713,0.106,0.257,1
"KIF19",0.0372819792258353,-1.05942302130713,0.106,0.257,1
"KCNE1",0.0372939152376857,-0.392690116548136,0.404,0.514,1
"NUFIP2",0.0373483119330902,-0.135651383782048,1,1,1
"SEC22B",0.0373483119330902,-0.113522101599712,1,1,1
"KIF14",0.0374049669119677,-1.31038968075841,0.085,0.22,1
"AC116049.2",0.0374063114052411,-1.16469921052769,0.085,0.22,1
"WNK2",0.037465774253093,-0.302263749330528,0.638,0.761,1
"SLC25A34",0.0374856180109117,-0.915687543845678,0.149,0.312,1
"PKIB",0.0374856180109117,-0.915687543845678,0.149,0.312,1
"CDCA7",0.037500259026722,-0.521908175471501,0.34,0.468,1
"SLPI",0.0375639049229734,0.537785640197445,0.362,0.183,1
"TRIM5",0.0376941255693675,-0.135607021026767,0.894,0.982,1
"IFT57",0.0377025942411341,-0.10584400623974,1,1,1
"LHFPL2",0.0377331336859585,0.319655059617183,0.915,0.761,1
"PARS2",0.0377356112778488,0.859958518484588,0.362,0.202,1
"SLC17A5",0.0377966292157485,0.439807268382222,0.681,0.523,1
"AC099522.2",0.0378025639759175,-0.979049604843107,0.128,0.284,1
"PLD6",0.0378025639759175,-0.979049604843107,0.128,0.284,1
"TIGD4",0.0378025639759175,-0.89045705192653,0.149,0.275,1
"CYB561",0.0378247963953608,0.402273743497643,0.872,0.661,1
"LEMD1",0.0378285758417554,-1.87788083667079,0.021,0.128,1
"SAP30L-AS1",0.0378285758417554,-1.80785027338943,0.021,0.128,1
"MAOB",0.0378285758417554,-1.75343675648641,0.021,0.128,1
"AL133338.1",0.0378465822446698,-0.818803886498603,0.191,0.33,1
"SLC20A1",0.0378766279433151,-0.28478656519704,0.574,0.633,1
"AGPS",0.0379691565519769,0.31563199627479,0.979,0.807,1
"SPTAN1",0.0379691565519769,-0.210269393537971,0.851,0.862,1
"PAXX",0.0380512107304684,-0.165178375138935,0.936,0.963,1
"HACD3",0.0380582100813565,-0.159361409060613,0.957,0.982,1
"CSTB",0.0380597317232308,0.177635938935945,1,0.991,1
"ANAPC11",0.0380597317232308,-0.158548652587242,1,1,1
"TOR3A",0.0381697627143586,0.565159075702258,0.681,0.45,1
"CCNYL1",0.0382208117896146,-0.186168227458697,0.787,0.835,1
"ARF4",0.0382340345974365,-0.167087817694336,0.936,0.972,1
"EFR3B",0.0383205377089013,-0.231679931573078,0.553,0.633,1
"AL603756.1",0.0383275421054486,-1.51855421563241,0.043,0.165,1
"SREK1",0.0384197420180888,-0.148535640203012,1,1,1
"LGALS3BP",0.038432792409825,0.860184748482588,0.404,0.22,1
"AL021707.5",0.0385082884726054,-1.07533720183824,0.106,0.248,1
"AL451085.1",0.0385314775064092,-1.77248426476122,0.021,0.128,1
"LINC01786",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AC114488.2",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"VAV3-AS1",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AL354760.1",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"SNED1",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AC096564.2",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"SORBS2",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AL645933.2",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"LINC01285",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"LINC02099",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"SLC10A5",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"DGAT2",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AL365356.5",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"LRRK2",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"DLEU7-AS1",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"LRRC9",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AC091057.3",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"PDF",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"CDRT4",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AC068234.3",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"CD177",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"SRRM5",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"KLC3",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"TNNT1",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AP000223.1",0.0385314775064092,-1.69329512250923,0.021,0.128,1
"AGPAT2",0.0385779035933067,-0.231773387334514,0.787,0.908,1
"CEP295NL",0.0386143514327213,-0.673816590341367,0.255,0.413,1
"CCDC189",0.0386751420394887,-1.05060684848315,0.106,0.239,1
"CTSA",0.0386779298063707,-0.203463477922668,0.83,0.927,1
"EPHA7",0.0386964033648229,-0.179114657321423,0.851,0.927,1
"RIOK1",0.0387795620036553,-0.131176816921616,0.936,0.982,1
"MZF1-AS1",0.0388910003583615,-0.311039693293392,0.596,0.679,1
"BTN2A1",0.0388948950077204,-0.116270867582062,0.894,0.917,1
"TBC1D8",0.0389631581739136,-0.280340622204658,0.574,0.67,1
"TANGO6",0.0390573772574578,0.222981930299105,0.936,0.826,1
"ZBTB21",0.0390617441728241,0.346168787284096,0.957,0.78,1
"AL450326.1",0.0390998991095331,-0.634401433455661,0.298,0.486,1
"ORAI1",0.0391122837361336,0.246505076826973,0.936,0.798,1
"C17orf58",0.0391228813697355,-0.103652913102742,0.915,0.945,1
"FKTN",0.0391404789071342,-0.267455258797425,0.681,0.817,1
"BTBD1",0.0392195548840518,-0.307110270290078,0.681,0.844,1
"LCNL1",0.0392454486134133,1.39540090918499,0.17,0.064,1
"SH3TC2-DT",0.0392520952899789,1.89105536108699,0.106,0.028,1
"ERP27",0.0393006884160768,-1.04757319344711,0.106,0.257,1
"RELL1",0.0393091749382454,0.321999686449139,0.766,0.615,1
"MAP3K5",0.0393521534181455,0.690154331434165,0.553,0.33,1
"LINC01126",0.0393643182496552,-0.8970508472372,0.191,0.367,1
"VMO1",0.0394806972390123,-0.954332024629623,0.128,0.275,1
"THSD4",0.0394815509923923,-0.647758778488643,0.255,0.385,1
"AP000251.1",0.0394965981739067,-0.725003982236568,0.234,0.413,1
"EDF1",0.0395171870015144,-0.165208897146228,1,1,1
"AL162377.1",0.039564409251303,-0.413277094048387,0.574,0.761,1
"UNC80",0.0395867298149436,-1.44048963610132,0.043,0.165,1
"ACE",0.0395867298149436,1.21359547309929,0.213,0.092,1
"MGP",0.0396151246933821,0.458185450440398,0.617,0.431,1
"TMEM88",0.0396175423788774,0.46217633912162,0.638,0.477,1
"ZKSCAN4",0.0396932549465726,-0.332974540642179,0.489,0.606,1
"TRAPPC6A",0.0397101211868856,-0.280879691208415,0.766,0.927,1
"SNHG21",0.03971246186681,-0.722428156461738,0.255,0.404,1
"TMEM186",0.0397472621747941,-0.211207753939994,0.745,0.862,1
"ZBED8",0.0398330855934584,-0.472295936472648,0.468,0.67,1
"AC138627.1",0.0398712366002118,-0.688654298786514,0.234,0.385,1
"APOM",0.0398941967701545,-0.700129686486807,0.255,0.413,1
"SETD1B",0.0399008931596042,-0.204699838541377,0.787,0.872,1
"BACH2",0.0399111160473987,-0.246412349554238,0.617,0.688,1
"RASSF5",0.0399706221307595,-1.69367481512554,0.021,0.128,1
"F8A1",0.0399895352881161,0.225318988569344,0.894,0.807,1
"ZNF490",0.0399898700421302,-0.762639774938649,0.213,0.367,1
"MIR29B2CHG",0.0400746013983024,-1.0567764850974,0.106,0.248,1
"GUCA1B",0.0401274352905681,1.02095039515689,0.277,0.138,1
